title,author,year
Cien años de soledad,Gabriel García Márquez,1967
Don Quijote de la Mancha,Miguel de Cervantes,1605
El amor en los tiempos del cólera,Gabriel García Márquez,1985
La sombra del viento,Carlos Ruiz Zafón,2001
Rayuela,Julio Cortázar,1963
Pedro Páramo,Juan Rulfo,1955
Ficciones,Jorge Luis Borges,1944
El coronel no tiene quien le escriba,Gabriel García Márquez,1961
1984,George Orwell,1949
Crónica de una muerte anunciada,Gabriel García Márquez,1981
Ensayo sobre la ceguera,José Saramago,1995
La ciudad y los perros,Mario Vargas Llosa,1963
La casa de los espíritus,Isabel Allende,1982
Los detectives salvajes,Roberto Bolaño,1998
Sobre héroes y tumbas,Ernesto Sabato,1961
El túnel,Ernesto Sabato,1948
El principito,Antoine de Saint-Exupéry,1943
Fahrenheit 451,Ray Bradbury,1953
Orgullo y prejuicio,Jane Austen,1813
Matar a un ruiseñor,Harper Lee,1960
La metamorfosis,Franz Kafka,1915
El retrato de Dorian Gray,Oscar Wilde,1890
Los miserables,Victor Hugo,1862
Madame Bovary,Gustave Flaubert,1856
Crimen y castigo,Fiódor Dostoyevski,1866
Anna Karenina,León Tolstói,1877
El guardián entre el centeno,J.D. Salinger,1951
